,Confirmed,Country/Region,Deaths,Last Update,Latitude,Longitude,Province/State,Recovered,tot_pop
539,2.0,Italy,0.0,2020-01-31 08:15:00,,,,0.0,60480000
608,2.0,Italy,0.0,2020-01-31 08:15:53,,,,0.0,60480000
675,2.0,Italy,0.0,2020-01-31 08:15:53,,,,0.0,60480000
743,2.0,Italy,0.0,2020-01-31 08:15:53,,,,0.0,60480000
814,2.0,Italy,0.0,2020-01-31 08:15:53,,,,0.0,60480000
885,2.0,Italy,0.0,2020-01-31 08:15:53,,,,0.0,60480000
480,2.0,Italy,,2020-01-31 23:59:00,,,,,60480000
955,3.0,Italy,0.0,2020-02-07 17:53:02,,,,0.0,60480000
1027,3.0,Italy,0.0,2020-02-07 17:53:02,,,,0.0,60480000
1099,3.0,Italy,0.0,2020-02-07 17:53:02,,,,0.0,60480000
1172,3.0,Italy,0.0,2020-02-07 17:53:02,,,,0.0,60480000
1244,3.0,Italy,0.0,2020-02-07 17:53:02,,,,0.0,60480000
1317,3.0,Italy,0.0,2020-02-07 17:53:02,,,,0.0,60480000
1390,3.0,Italy,0.0,2020-02-07 17:53:02,,,,0.0,60480000
1464,3.0,Italy,0.0,2020-02-07 17:53:02,,,,0.0,60480000
1539,3.0,Italy,0.0,2020-02-07 17:53:02,,,,0.0,60480000
1614,3.0,Italy,0.0,2020-02-07 17:53:02,,,,0.0,60480000
1689,3.0,Italy,0.0,2020-02-07 17:53:02,,,,0.0,60480000
1764,3.0,Italy,0.0,2020-02-07 17:53:02,,,,0.0,60480000
1839,3.0,Italy,0.0,2020-02-07 17:53:02,,,,0.0,60480000
1916,3.0,Italy,0.0,2020-02-07 17:53:02,,,,0.0,60480000
1979,20.0,Italy,1.0,2020-02-21 23:33:06,,,,0.0,60480000
2060,62.0,Italy,2.0,2020-02-22 23:43:02,,,,1.0,60480000
2132,155.0,Italy,3.0,2020-02-23 23:43:02,,,,2.0,60480000
2215,229.0,Italy,7.0,2020-02-24 23:43:01,,,,1.0,60480000
2301,322.0,Italy,10.0,2020-02-25 18:55:32,,,,1.0,60480000
2393,453.0,Italy,12.0,2020-02-26 23:43:03,,,,3.0,60480000
2490,655.0,Italy,17.0,2020-02-27 23:23:02,,,,45.0,60480000
2593,888.0,Italy,21.0,2020-02-28 20:13:09,,,,46.0,60480000
2704,1128.0,Italy,29.0,2020-02-29 18:03:05,,,,46.0,60480000
2820,1694.0,Italy,34.0,2020-03-01 23:23:02,43.0,12.0,,83.0,60480000
2945,2036.0,Italy,52.0,2020-03-02 20:23:16,43.0,12.0,,149.0,60480000
3086,2502.0,Italy,79.0,2020-03-03 20:03:06,43.0,12.0,,160.0,60480000
3237,3089.0,Italy,107.0,2020-03-04 19:23:03,43.0,12.0,,276.0,60480000
3397,3858.0,Italy,148.0,2020-03-05 17:43:03,43.0,12.0,,414.0,60480000
3571,4636.0,Italy,197.0,2020-03-06 17:33:03,43.0,12.0,,523.0,60480000
3769,5883.0,Italy,233.0,2020-03-07 17:33:03,43.0,12.0,,589.0,60480000
3993,7375.0,Italy,366.0,2020-03-08 18:03:04,43.0,12.0,,622.0,60480000
4248,9172.0,Italy,463.0,2020-03-09 18:13:11,43.0,12.0,,724.0,60480000
4514,10149.0,Italy,631.0,2020-03-10 17:53:02,43.0,12.0,,724.0,60480000
5215,17660.0,Italy,1266.0,2020-03-11 20:00:00,41.8719,12.5674,,1439.0,60480000
4720,12462.0,Italy,827.0,2020-03-11 21:33:02,43.0,12.0,,1045.0,60480000
4936,12462.0,Italy,827.0,2020-03-11 21:33:02,43.0,12.0,,1045.0,60480000
5384,21157.0,Italy,1441.0,2020-03-14 20:13:16,41.8719,12.5674,,1966.0,60480000
5633,24747.0,Italy,1809.0,2020-03-14 20:13:16,41.8719,12.5674,,2335.0,60480000
5891,27980.0,Italy,2158.0,2020-03-16 17:33:03,41.8719,12.5674,,2749.0,60480000
6163,31506.0,Italy,2503.0,2020-03-17 18:33:02,41.8719,12.5674,,2941.0,60480000
6439,35713.0,Italy,2978.0,2020-03-18 17:33:05,41.8719,12.5674,,4025.0,60480000
6723,41035.0,Italy,3405.0,2020-03-19 17:43:03,41.8719,12.5674,,4440.0,60480000
7015,47021.0,Italy,4032.0,2020-03-20 17:43:03,41.8719,12.5674,,4440.0,60480000
7314,53578.0,Italy,4825.0,2020-03-21 17:43:03,41.8719,12.5674,,6072.0,60480000
7618,59138.0,Italy,5476.0,2020-03-22 18:13:20,41.8719,12.5674,,7024.0,60480000
